Ημερομηνία,Κατηγορία,Ποσό,Περιγραφή
2025-01-15,Έσοδα,12500.00,Πώληση Α' Τρίμηνο
2025-01-20,Έξοδα,3200.50,Προμηθευτές
2025-02-10,Έσοδα,9800.00,Παροχή υπηρεσιών
2025-02-15,ΦΠΑ,2350.00,ΦΠΑ Α' διμήνου
2025-03-05,Έξοδα,4100.75,Μισθοδοσία
2025-03-25,Έσοδα,15200.00,Πώληση Β' τριμήνου
2025-04-15,Οφειλή,1800.00,Εκκρεμή ΦΠΑ
2025-04-20,Πληρωμή,3200.50,Εξόφληση προμηθευτή
2025-05-12,Έσοδα,11400.00,Νέοι πελάτες
2025-05-30,Έξοδα,2800.00,Ενοίκιο γραφείου
2025-06-15,ΦΠΑ,2700.00,ΦΠΑ Β' διμήνου
2025-06-28,Έσοδα,13900.00,Συμβόλαια συντήρησης
